City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
460,salalah,17.0151,54.0924,24.05,69,20,2.06,OM,1702497270
461,kenai,60.5544,-151.2583,-6.95,93,100,2.06,US,1702497270
462,notodden,59.5594,9.2585,-14.9,95,21,1.59,NO,1702497270
463,laguna,38.421,-121.4238,16.67,62,0,0.45,US,1702497214
464,onguday,50.75,86.15,-23.53,94,6,1.18,RU,1702497270
465,klaksvik,62.2266,-6.589,7.51,95,100,18.85,FO,1702497270
466,copala,16.65,-98.9833,31.28,50,100,2.74,MX,1702497270
467,pauini,-7.7136,-66.9764,32.06,59,100,0.9,BR,1702497271
468,ploneour-lanvern,47.9,-4.2833,10.16,81,75,7.72,FR,1702497271
469,mariental,-24.6333,17.9667,28.38,14,28,8.88,NA,1702497271
470,rawson,-43.3002,-65.1023,24.11,27,8,2.69,AR,1702497271
471,kiffa,16.6166,-11.4045,25.44,15,86,4.37,MR,1702497271
472,pizarro,4.9533,-77.366,28.97,79,38,3.88,CO,1702497271
473,kruisfontein,-34.0033,24.7314,17.16,89,99,2.75,ZA,1702497271
474,elliot,-31.3333,27.85,11.96,81,14,1.28,ZA,1702497271
475,forde,61.4522,5.8572,3.0,93,75,0.0,NO,1702497271
476,charters towers,-20.1,146.2667,22.79,86,100,7.08,AU,1702497272
477,okanagan,50.3639,-119.35,4.04,67,92,2.26,CA,1702497272
478,keflavik,64.0049,-22.5624,4.95,87,75,9.77,IS,1702497272
479,tucuma,-0.1833,-50.05,29.13,70,53,3.65,BR,1702497272
480,lancing,50.8288,-0.3225,6.95,93,100,10.36,GB,1702497272
481,bathsheba,13.2167,-59.5167,28.34,74,40,7.2,BB,1702497272
482,kirakira,-10.4544,161.9205,25.58,80,49,4.01,SB,1702497272
483,turpan,42.9333,89.1667,-5.38,23,79,0.95,CN,1702497272
484,agrinio,38.6214,21.4078,14.28,89,90,1.43,GR,1702497272
485,zuwarah,32.9312,12.082,19.03,39,56,6.22,LY,1702497272
486,taco pozo,-25.6167,-63.2833,39.15,30,0,5.5,AR,1702497273
487,anar darah,32.7587,61.654,10.46,37,5,2.03,AF,1702497273
488,vrangel',42.7297,133.0839,-9.18,39,100,4.22,RU,1702497273
489,kapoeta,4.7717,33.5903,29.49,41,71,2.68,SS,1702497273
490,mokhsogollokh,61.4681,128.9203,-27.38,95,100,3.38,RU,1702497273
491,antonio enes,-16.2325,39.9086,27.36,85,82,3.3,MZ,1702497273
492,choibalsan,48.0667,114.5,-24.38,90,100,1.66,MN,1702497273
493,la libertad,-2.2333,-80.9,23.81,94,20,5.66,EC,1702497112
494,ust-tsilma,65.441,52.1498,-12.89,93,100,3.21,RU,1702497274
495,warrenton,-28.114,24.8475,25.94,14,0,3.24,ZA,1702497274
496,konstantinovskaya,44.0456,43.1583,3.21,98,100,2.08,RU,1702497274
497,pandan,14.0453,124.1694,26.55,86,93,9.27,PH,1702497274
498,gorontalo,0.5412,123.0595,24.12,95,90,1.62,ID,1702497274
499,morondava,-20.2833,44.2833,28.16,78,93,4.39,MG,1702497274
500,mikhaylovskoye,51.8239,79.7172,-24.22,80,78,1.89,RU,1702497274
501,bubaque,11.2833,-15.8333,28.01,65,100,5.32,GW,1702497274
502,lubang,13.8584,120.124,27.63,73,5,11.15,PH,1702497274
503,beyneu,45.3167,55.2,-2.41,56,100,13.13,KZ,1702497275
504,salinas,36.6777,-121.6555,18.73,59,0,4.63,US,1702497035
505,cambria,35.5641,-121.0808,21.39,69,0,2.24,US,1702497185
506,klodawa,52.2545,18.9135,2.59,95,100,3.48,PL,1702497275
507,salekhard,66.53,66.6019,-16.03,93,100,3.29,RU,1702497275
508,qinnan,33.2531,119.9133,10.07,99,100,1.39,CN,1702497275
509,bengkulu,-3.8004,102.2655,23.35,92,44,1.88,ID,1702497275
510,ende,-8.8432,121.6623,26.05,83,96,1.68,ID,1702497275
511,saynshand,44.8824,110.1163,-18.13,83,100,9.13,MN,1702497275
512,mpika,-11.8343,31.4529,20.09,72,75,1.17,ZM,1702497275
513,jinghong,21.991,100.7341,17.23,99,19,0.6,CN,1702497276
514,howrah,22.5892,88.3103,18.0,77,4,0.0,IN,1702497276
515,axim,4.8699,-2.2405,27.04,69,0,3.24,GH,1702497276
516,northam,51.0333,-4.2167,8.12,82,9,4.06,GB,1702497276
517,juneau,58.3019,-134.4197,3.0,90,100,6.17,US,1702497057
518,urucara,-2.5364,-57.76,30.85,61,100,0.81,BR,1702497276
519,marti,22.9475,-80.9203,27.36,66,100,7.94,CU,1702497276
520,myeik,12.4333,98.6,24.72,79,55,1.57,MM,1702497276
521,cedeira,43.6797,-8.0209,11.88,77,96,4.84,ES,1702497277
522,carnarvon,-24.8667,113.6333,23.96,61,0,7.63,AU,1702497277
523,shingu,33.7333,135.9833,8.24,72,5,2.31,JP,1702497277
524,mweka,-4.85,21.5667,21.21,98,100,0.61,CD,1702497277
525,praia da vitoria,38.7333,-27.0667,15.14,67,75,5.7,PT,1702497277
526,dauphin,51.1494,-100.0502,4.08,56,75,9.26,CA,1702497277
527,afif,23.9065,42.9172,14.61,38,0,3.71,SA,1702497277
528,mikuni,36.2171,136.1519,1.95,68,99,1.83,JP,1702497277
529,buzuluk,52.7807,52.2635,-12.8,71,100,6.26,RU,1702497277
530,portland,45.5234,-122.6762,12.28,66,75,9.26,US,1702497121
531,conception bay south,47.4999,-52.9981,3.19,87,100,7.0,CA,1702497277
532,palmer,42.1584,-72.3287,5.84,42,75,5.14,US,1702497278
533,cannonvale,-20.2833,148.7,24.66,83,78,5.9,AU,1702497278
534,sisimiut,66.9395,-53.6735,-9.41,84,100,1.85,GL,1702497278
535,pedernales,18.0384,-71.744,28.92,57,100,3.2,DO,1702497278
536,hohhot,40.8106,111.6522,-0.84,80,40,3.0,CN,1702497278
537,kwekwe,-18.9281,29.8149,21.19,83,100,4.42,ZW,1702497278
538,bonthe,7.5264,-12.505,27.06,79,5,3.49,SL,1702497278
539,montepuez,-13.1256,38.9997,24.61,64,47,2.71,MZ,1702497279
540,businga,3.3333,20.8833,22.12,64,71,0.98,CD,1702497279
541,yerofey pavlovich,53.9667,121.9667,-33.25,96,13,1.49,RU,1702497279
542,bodaybo,57.8506,114.1933,-27.5,99,100,0.95,RU,1702497279
543,nemuro,43.3236,145.575,-3.92,64,21,11.78,JP,1702497279
544,dolores,-36.3132,-57.6792,21.85,80,97,6.2,AR,1702497279
545,melekeok village,7.4957,134.6367,26.31,89,40,4.12,PW,1702497279
546,acapulco de juarez,16.8634,-99.8901,30.49,55,97,2.67,MX,1702497031
547,huntsville,34.7304,-86.5861,16.49,37,0,2.06,US,1702497262
548,chimbote,-9.0853,-78.5783,22.96,74,45,5.48,PE,1702497279
549,el calafate,-50.3408,-72.2768,12.25,41,20,6.08,AR,1702497280
550,camiri,-20.05,-63.5167,36.88,30,40,0.0,BO,1702497280
551,bam,29.106,58.357,13.54,34,82,5.23,IR,1702497280
552,buala,-8.145,159.5921,26.44,84,22,0.47,SB,1702497280
553,reserva,-24.6503,-50.8506,28.01,46,2,1.18,BR,1702497280
554,maradi,13.5,7.1017,18.66,19,3,4.71,NE,1702497280
555,tangalle,6.024,80.7911,24.62,90,100,2.16,LK,1702497280
556,paracuru,-3.41,-39.0306,28.39,69,1,6.51,BR,1702497280
557,angaur state,6.906,134.13,28.78,76,92,8.74,PW,1702497280
